Label,HOA,Precinct,Type,Longitude,Latitude,Status
118,Val de Vie 1,VDV I: Phase 1,Single residential,18.97125612,-33.79327904,Transferred
118,Val de Vie 1,VDV I: Phase 1,Single residential,18.98413502,-33.81771778,Transferred
119,Val de Vie 1,VDV I: Phase 1,Single residential,18.96277105,-33.81130534,Transferred
119,Val de Vie 1,VDV I: Phase 1,Single residential,18.98392753,-33.81757558,Transferred
119,Val de Vie 1,VDV I: Phase 1,Single residential,18.97146538,-33.79330799,Transferred
120,Val de Vie 1,VDV I: Phase 1,Single residential,18.9627129,-33.81142341,Transferred
120,Val de Vie 1,VDV I: Phase 1,Single residential,18.98372418,-33.81745697,Transferred
120,Val de Vie 1,VDV I: Phase 1,Single residential,18.97167578,-33.79331863,Transferred
179,Val de Vie 1,VDV I: Phase 1,Single residential,18.97139107,-33.79432723,Transferred
179,Val de Vie 1,VDV I: Phase 1,Single residential,18.9788643,-33.81897787,Transferred
179,Val de Vie 1,VDV I: Phase 1,Single residential,18.96456003,-33.81188612,Transferred
121,Val de Vie 1,VDV I: Phase 1,Single residential,18.9631167,-33.81131372,Transferred
121,Val de Vie 1,VDV I: Phase 1,Single residential,18.97192451,-33.79332362,Transferred
122,Val de Vie 1,VDV I: Phase 1,Single residential,18.96327299,-33.81134555,Transferred
122,Val de Vie 1,VDV I: Phase 1,Single residential,18.98348965,-33.81765468,Transferred
123,Val de Vie 1,VDV I: Phase 1,Single residential,18.96342989,-33.81137925,Transferred
123,Val de Vie 1,VDV I: Phase 1,Single residential,18.97226366,-33.79334377,Transferred
306,Val de Vie 1,VDV I: Phase 1,Single residential,18.96676573,-33.80022887,Transferred
306,Val de Vie 1,VDV I: Phase 1,Single residential,18.97803912,-33.82328661,Transferred
124,Val de Vie 1,VDV I: Phase 1,Single residential,18.96358679,-33.81141295,Transferred
124,Val de Vie 1,VDV I: Phase 1,Single residential,18.97225435,-33.79351058,Transferred
125,Val de Vie 1,VDV I: Phase 1,Single residential,18.96377033,-33.81145365,Transferred
125,Val de Vie 1,VDV I: Phase 1,Single residential,18.9840365,-33.81797999,Transferred
125,Val de Vie 1,VDV I: Phase 1,Single residential,18.97254176,-33.7933892,Transferred
232,Val de Vie 1,VDV I: Phase 1,Single residential,18.96975791,-33.80001793,Transferred
232,Val de Vie 1,VDV I: Phase 1,Single residential,18.9660156,-33.81075991,Transferred
